NAME,BEGIN,END,KWH_PERIOD
0007BR,01/01/2019,31/01/2019,2 500
0007BR,01/02/2019,28/02/2019,2 227
0007BR,01/03/2019,31/03/2019,2 538
0007BR,01/04/2019,30/04/2019,2 520
0007BR,01/05/2019,31/05/2019,2 581
0007BR,01/06/2019,30/06/2019,2 816
0007BR,01/07/2019,31/07/2019,2 731
0007BR,01/08/2019,31/08/2019,2 775
0007BR,01/09/2019,30/09/2019,2 636
0007BR,01/10/2019,31/10/2019,2 721
0007BR,01/11/2019,30/11/2019,2 584
0007BR,01/12/2019,31/12/2019,2 772
0007BR,01/01/2020,31/01/2020,2 834
0007BR,01/02/2020,29/02/2020,2 688
0007BR,01/03/2020,31/03/2020,2 820
0007BR,01/04/2020,30/04/2020,2 812
0007BR,01/05/2020,31/05/2020,2 811
0007BR,01/06/2020,30/06/2020,2 747
0007BR,01/07/2020,31/07/2020,2 887
0007BR,01/08/2020,31/08/2020,2 914
0007BR,01/09/2020,30/09/2020,2 802
0007BR,01/10/2020,31/10/2020,2 836
0007BR,01/11/2020,30/11/2020,2 690
0007BR,01/12/2020,31/12/2020,2 749
0007BR,01/01/2021,31/01/2021,2 790
0007BR,01/02/2021,28/02/2021,2 588
0007BR,01/03/2021,31/03/2021,2 944
0007BR,01/04/2021,30/04/2021,2 835
0007BR,01/05/2021,31/05/2021,2 918
0007BR,01/06/2021,30/06/2021,3 306
0007BR,01/07/2021,31/07/2021,2 881
0007BR,01/08/2021,31/08/2021,3 278
0007BR,01/09/2021,30/09/2021,3 110
0007BR,01/10/2021,31/10/2021,3 069
0007BR,01/11/2021,30/11/2021,3 784
0024KO,01/01/2019,31/01/2019,1 369
0024KO,01/02/2019,28/02/2019,1 134
0024KO,01/03/2019,31/03/2019,1 318
0024KO,01/04/2019,30/04/2019,1 168
0024KO,01/05/2019,31/05/2019,1 376
0024KO,01/06/2019,30/06/2019,1 225
0024KO,01/07/2019,31/07/2019,1 428
0024KO,01/08/2019,31/08/2019,1 173
0024KO,01/09/2019,30/09/2019,1 445
0024KO,01/10/2019,31/10/2019,1 239
0024KO,01/11/2019,30/11/2019,1 401
0024KO,01/12/2019,31/12/2019,1 167
0024KO,01/01/2020,31/01/2020,1 311
0024KO,01/02/2020,29/02/2020,1 361
0024KO,01/03/2020,31/03/2020,1 299
0024KO,01/04/2020,30/04/2020,1 427
0024KO,01/05/2020,31/05/2020,1 706
0024KO,01/06/2020,30/06/2020,1 276
0024KO,01/07/2020,31/07/2020,1 538
0024KO,01/08/2020,31/08/2020,1 542
0024KO,01/09/2020,30/09/2020,1 566
0024KO,01/10/2020,31/10/2020,1 634
0024KO,01/11/2020,30/11/2020,1 466
0024KO,01/12/2020,31/12/2020,1 499
0024KO,01/01/2021,31/01/2021,1 615
0024KO,01/02/2021,28/02/2021,1 534
0024KO,01/03/2021,31/03/2021,1 609
0024KO,01/04/2021,30/04/2021,1 413
0024KO,01/05/2021,31/05/2021,1 577
0024KO,01/06/2021,30/06/2021,1 580
0024KO,01/07/2021,31/07/2021,1 507
0024KO,01/08/2021,31/08/2021,1 677
0024KO,01/09/2021,30/09/2021,1 293
0024KO,01/10/2021,31/10/2021,1 552
0024KO,01/11/2021,30/11/2021,1 673
0089KO,01/01/2019,31/01/2019,1 491
0089KO,01/02/2019,28/02/2019,1 395
0089KO,01/03/2019,31/03/2019,1 400
0089KO,01/04/2019,30/04/2019,1 521
0089KO,01/05/2019,31/05/2019,1 572
0089KO,01/06/2019,30/06/2019,201
0089KO,01/07/2019,31/07/2019,1 560
0089KO,01/08/2019,31/08/2019,5 133
0089KO,01/09/2019,30/09/2019,2 222
0089KO,01/10/2019,31/10/2019,2 385
0089KO,01/11/2019,30/11/2019,2 267
0089KO,01/12/2019,31/12/2019,2 423
0089KO,01/01/2020,31/01/2020,2 432
0089KO,01/02/2020,28/02/2020,2 188
0089KO,01/03/2020,31/03/2020,2 260
0089KO,01/04/2020,30/04/2020,2 425
0089KO,01/05/2020,31/05/2020,2 445
0089KO,01/06/2020,30/06/2020,2 400
0089KO,01/07/2020,31/07/2020,2 639
0089KO,01/08/2020,31/08/2020,2 436
0089KO,01/09/2020,30/09/2020,2 468
0089KO,01/10/2020,31/10/2020,2 580
0089KO,01/11/2020,30/11/2020,2 338
0089KO,01/12/2020,31/12/2020,2 522
0089KO,01/01/2021,31/01/2021,2 459
0089KO,01/02/2021,28/02/2021,2 231
0089KO,01/03/2021,31/03/2021,2 492
0089KO,01/04/2021,30/04/2021,2 306
0089KO,01/05/2021,31/05/2021,2 427
0089KO,01/06/2021,30/06/2021,2 447
0089KO,01/07/2021,31/07/2021,2 502
0089KO,01/08/2021,31/08/2021,2 601
0089KO,01/09/2021,30/09/2021,2 355
0089KO,01/10/2021,31/10/2021,2 530
0089KO,01/11/2021,30/11/2021,2 186
0147KO,01/01/2019,31/01/2019,2 416
0147KO,01/02/2019,28/02/2019,2 199
0147KO,01/03/2019,31/03/2019,2 453
0147KO,01/04/2019,30/04/2019,2 403
0147KO,01/05/2019,31/05/2019,2 491
0147KO,01/06/2019,30/06/2019,2 550
0147KO,01/07/2019,31/07/2019,2 632
0147KO,01/08/2019,31/08/2019,2 726
0147KO,01/09/2019,30/09/2019,2 498
0147KO,01/10/2019,31/10/2019,2 549
0147KO,01/11/2019,30/11/2019,2 437
0147KO,01/12/2019,31/12/2019,2 492
0147KO,01/01/2020,31/01/2020,2 472
0147KO,01/02/2020,29/02/2020,2 335
0147KO,01/03/2020,31/03/2020,2 541
0147KO,01/04/2020,30/04/2020,2 502
0147KO,01/05/2020,31/05/2020,2 581
0147KO,01/06/2020,30/06/2020,2 555
